batsman,bowler,BatAvg,BatSR,BwlAvg,BwlEco,BatCL,BwlCL
AA Bilakhia,A Kumble,13.8,81.17,23.51,6.57,0,0
AA Bilakhia,A Mishra,13.8,81.17,24.82,7.37,0,0
AA Bilakhia,A Nehra,13.8,81.17,26.951875,8.205625,0,0
AA Bilakhia,DL Vettori,13.8,81.17,31.175,7.03,0,2
AA Bilakhia,DP Nannes,13.8,81.17,24.3975,7.645,0,0
AA Bilakhia,JA Morkel,13.8,81.17,31.925,9.38125,0,2
AA Bilakhia,JDP Oram,13.8,81.17,31.3125,9.2375,0,2
AA Bilakhia,L Balaji,13.8,81.17,26.685,8.045,0,0
AA Bilakhia,M Muralitharan,13.8,81.17,37.1925,6.9975,0,2
AA Bilakhia,PJ Sangwan,13.8,81.17,32.59,9.985,0,2
AA Bilakhia,P Kumar,13.8,81.17,39.7525,8.364375,0,2
AA Bilakhia,R Vinay Kumar,13.8,81.17,30.58875,8.41375,0,2
AA Bilakhia,SK Warne,13.8,81.17,25.38,7.27,0,0
AA Bilakhia,SM Harwood,13.8,81.17,24.33,7.3,0,0
AA Bilakhia,SR Watson,13.8,81.17,32.0275,8.4925,0,2
AA Bilakhia,TM Dilshan,13.8,81.17,118.875,8.27,0,3
AA Bilakhia,V Sehwag,13.8,81.17,19.58,5.18,0,0
AA Bilakhia,YK Pathan,13.8,81.17,24.01,7.1975,0,0
AA Chavan,BJ Hodge,6,109.09,20.36,7.77,0,0
AA Chavan,KA Pollard,6,109.09,31.6,8.85,0,2
AA Chavan,M Morkel,6,109.09,12.9775,7.64,0,0
AA Chavan,MM Patel,6,109.09,31.4375,7.6775,0,2
AA Chavan,UT Yadav,6,109.09,25.3425,8.125,0,0
AA Jhunjhunwala,AB Dinda,14.415,92.0825,47.27875,8.8525,0,2
AA Jhunjhunwala,AB McDonald,14.415,92.0825,24.8,8.065,0,0
AA Jhunjhunwala,AD Mathews,14.415,92.0825,39.565,8.105,0,2
AA Jhunjhunwala,AG Murtaza,14.415,92.0825,34.83,7.625,0,2
AA Jhunjhunwala,A Kumble,14.415,92.0825,23.51,6.57,0,0
AA Jhunjhunwala,A Mishra,14.415,92.0825,24.82,7.37,0,0
AA Jhunjhunwala,A Symonds,14.415,92.0825,37.155,8.9,0,2
AA Jhunjhunwala,Azhar Mahmood,14.415,92.0825,11.36,10.635,0,4
AA Jhunjhunwala,BJ Hodge,14.415,92.0825,20.36,7.77,0,0
AA Jhunjhunwala,BW Hilfenhaus,14.415,92.0825,21.77,7.72,0,0
AA Jhunjhunwala,DE Bollinger,14.415,92.0825,18.72,7.21,0,0
AA Jhunjhunwala,DP Nannes,14.415,92.0825,24.3975,7.645,0,0
AA Jhunjhunwala,DS Kulkarni,14.415,92.0825,27.1775,8.1575,0,0
AA Jhunjhunwala,DW Steyn,14.415,92.0825,23.86625,6.99625,0,0
AA Jhunjhunwala,Harbhajan Singh,14.415,92.0825,32.61,7.715,0,2
AA Jhunjhunwala,Harmeet Singh,14.415,92.0825,30.27,8.2575,0,2
AA Jhunjhunwala,I Sharma,14.415,92.0825,37.53125,8.794375,0,2
AA Jhunjhunwala,JA Morkel,14.415,92.0825,31.925,9.38125,0,2
AA Jhunjhunwala,JH Kallis,14.415,92.0825,38.505,7.915,0,2
AA Jhunjhunwala,KA Pollard,14.415,92.0825,31.6,8.85,0,2
AA Jhunjhunwala,MF Maharoof,14.415,92.0825,19.25,7.42,0,0
AA Jhunjhunwala,M Kartik,14.415,92.0825,53.28875,7.78125,0,2
AA Jhunjhunwala,M Morkel,14.415,92.0825,12.9775,7.64,0,0
AA Jhunjhunwala,MM Patel,14.415,92.0825,31.4375,7.6775,0,2
AA Jhunjhunwala,M Muralitharan,14.415,92.0825,37.1925,6.9975,0,2
AA Jhunjhunwala,Pankaj Singh,14.415,92.0825,41.25,9.465,0,2
AA Jhunjhunwala,P Awana,14.415,92.0825,26.38,8.26,0,0
AA Jhunjhunwala,PJ Sangwan,14.415,92.0825,32.59,9.985,0,2
AA Jhunjhunwala,P Kumar,14.415,92.0825,39.7525,8.364375,0,2
AA Jhunjhunwala,PP Chawla,14.415,92.0825,26.135,7.77,0,0
AA Jhunjhunwala,PP Ojha,14.415,92.0825,28.375,7.415,0,0
AA Jhunjhunwala,RJ Harris,14.415,92.0825,23.255,7.54,0,0
AA Jhunjhunwala,R McLaren,14.415,92.0825,50.4825,9.795,0,2
AA Jhunjhunwala,RP Singh,14.415,92.0825,29.26875,8.419375,0,2
AA Jhunjhunwala,RR Powar,14.415,92.0825,46.86,8.18,0,2
AA Jhunjhunwala,R Sathish,14.415,92.0825,45.25,10.275,0,2
