batsman,batclustno
S Anirudha,0
KB Arun Karthik,0
L Balaji,0
MS Gony,0
JO Holder,0
CK Kapugedera,0
RG More,0
A Mukund,0
M Muralitharan,0
A Nehra,0
M Ntini,0
KV Sharma,0
MM Sharma,0
DR Shorey,0
SN Thakur,0
T Thushara,0
S Tyagi,0
Anirudh Singh,0
Ankit Sharma,0
SB Bangar,0
AA Bilakhia,0
B Chipli,0
DT Christian,0
FH Edwards,0
RJ Harris,0
Jaskaran Singh,0
AA Jhunjhunwala,0
MJ Lumb,0
MR Marsh,0
A Mishra,0
R Sharma,0
DW Steyn,0
J Theron,0
DP Vijaykumar,0
AR Bawne,0
UBT Chand,0
PJ Cummins,0
Q de Kock,0
AB Dinda,0
CA Ingram,0
Z Khan,0
GD McGrath,0
BMAJ Mendis,0
Mohammed Shami,0
M Morkel,0
JDS Neesham,0
WD Parnell,0
MN Samuels,0
PJ Sangwan,0
LR Shukla,0
S Sriram,0
AP Tare,0
JD Unadkat,0
MS Wade,0
J Yadav,0
UT Yadav,0
AD Nath,0
Ankit Soni,0
Basil Thampi,0
DS Kulkarni,0
P Kumar,0
MM Patel,0
Anureet Singh,0
F Behardien,0
BA Bhatt,0
P Dogra,0
K Goel,0
Karanveer Singh,0
M Kartik,0
VS Malik,0
AD Mascarenhas,0
WA Mota,0
NS Naik,0
AM Nayar,0
NJ Rimmington,0
N Saini,0
Sandeep Sharma,0
BB Sran,0
SJ Srivastava,0
TM Srivastava,0
Swapnil Singh,0
PC Valthaty,0
R Vinay Kumar,0
DM Bravo,0
A Chopra,0
TK Curran,0
AN Ghosh,0
GB Hogg,0
Iqbal Abdulla,0
Kuldeep Yadav,0
Mashrafe Mortaza,0
Mohammad Hafeez,0
RT Ponting,0
SMSM Senanayake,0
SS Shaikh,0
Shivam Mavi,0
RK Singh,0
CR Woakes,0
Yashpal Singh,0
JJ Bumrah,0
A Dananjaya,0
S Gopal,0
DJ Jacobs,0
CJ McKay,0
C Madan,0
SL Malinga,0
M Markande,0
AG Murtaza,0
GR Napier,0
RJ Peterson,0
L Ronchi,0
PR Shah,0
DJ Thornely,0
VS Yeligati,0
UA Birla,0
CJ Ferguson,0
B Kumar,0
Parvez Rasool,0
M Rawat,0
KW Richardson,0
JE Taylor,0
AC Thomas,0
JC Archer,0
AA Chavan,0
SM Harwood,0
T Henderson,0
DS Lehmann,0
DR Martyn,0
AG Paunikar,0
MDKJ Perera,0
Sachin Baby,0
SW Tait,0
SK Trivedi,0
A Uniyal,0
SK Warne,0
LH Ferguson,0
PSP Handscomb,0
A Zampa,0
J Arunkumar,0
R Bishnoi,0
S Chanderpaul,0
D du Preez,0
A Kumble,0
NJ Maddinson,0
TS Mills,0
AF Milne,0
Mohammed Siraj,0
AA Noffke,0
DT Patil,0
R Rampaul,0
RR Rossouw,0
DJG Sammy,0
B Stanlake,0
MA Starc,0
Vishnu Vinod,0
X Thalaivan Sargunam,0
GH Vihari,0
P Amarnath,1
KM Asif,1
S Badree,1
C Ganapathy,1
JW Hastings,1
BW Hilfenhaus,1
Imran Tahir,1
SB Jakati,1
S Randiv,1
B Laughlin,1
VY Mahesh,1
DP Nannes,1
L Ngidi,1
JDP Oram,1
IC Pandey,1
AS Rajpoot,1
DJ Willey,1
MA Wood,1
Anand Rajan,1
H Das,1
KH Devdhar,1
Harmeet Singh,1
D Kalyankrishna,1
T Mishra,1
PP Ojha,1
V Pratap Singh,1
PM Sarvesh Kumar,1
I Sharma,1
Shoaib Ahmed,1
RP Singh,1
TP Sudhindra,1
S Ladda,1
Avesh Khan,1
TA Boult,1
CJ Dala,1
B Geeves,1
Sunny Gupta,1
S Kaul,1
S Lamichhane,1
Mohammad Asif,1
DJ Muthuswami,1
S Nadeem,1
LE Plunkett,1
AM Salvi,1
GS Sandhu,1
R Shukla,1
SS Agarwal,1
S Kaushik,1
NB Singh,1
PV Tambe,1
Tejas Baroka,1
YA Abdulla,1
L Ablish,1
P Awana,1
RR Bose,1
KC Cariappa,1
P Dharmani,1
Gagandeep Singh,1
BE Hendricks,1
MJ Henry,1
U Kaul,1
T Kohli,1
T Natarajan,1
MG Neser,1
S Sreesanth,1
P Parameswaran,1
P Prasanth,1
SE Bond,1
M de Lange,1
RS Gavaskar,1
Harpreet Singh,1
CK Langeveldt,1
BAW Mendis,1
MB Parmar,1
M Prasidh Krishna,1
SS Sarkar,1
Shoaib Akhtar,1
YS Chahal,1
Mohammad Ashraful,1
Mustafizur Rahman,1
C Nanda,1
A Nel,1
RV Pawar,1
RW Price,1
K Santokie,1
RA Shaikh,1
P Suyal,1
Kamran Khan,1
SS Mundhe,1
TD Paine,1
SB Wagh,1
A Chandila,1
ND Doshi,1
Pankaj Singh,1
A Singh,1
IS Sodhi,1
Younis Khan,1
M Ashwin,1
