bowler,bowlclustno
S Badree,0
L Balaji,0
DE Bollinger,0
DJ Bravo,0
F du Plessis,0
JW Hastings,0
BW Hilfenhaus,0
Imran Tahir,0
JM Kemp,0
KMDN Kulasekara,0
VY Mahesh,0
CH Morris,0
DP Nannes,0
P Negi,0
A Nehra,0
L Ngidi,0
NLTC Perera,0
AS Rajpoot,0
V Shankar,0
KV Sharma,0
MM Sharma,0
SB Styris,0
T Thushara,0
S Vidyut,0
M Vijay,0
Anand Rajan,0
A Ashish Reddy,0
SB Bangar,0
B Chipli,0
DT Christian,0
FH Edwards,0
RJ Harris,0
MR Marsh,0
A Mishra,0
PP Ojha,0
DB Ravi Teja,0
Shahid Afridi,0
DW Steyn,0
TL Suman,0
WPUJC Vaas,0
Y Venugopal Rao,0
DAJ Bracewell,0
CR Brathwaite,0
PD Collingwood,0
NM Coulter0Nile,0
Z Khan,0
S Lamichhane,0
AB McDonald,0
GD McGrath,0
MF Maharoof,0
GJ Maxwell,0
M Morkel,0
DJ Muthuswami,0
WD Parnell,0
HV Patel,0
KP Pietersen,0
AM Salvi,0
MN Samuels,0
V Sehwag,0
R Tewatia,0
MK Tiwary,0
JD Unadkat,0
RE van der Merwe,0
UT Yadav,0
JP Faulkner,0
DS Kulkarni,0
NB Singh,0
AJ Tye,0
YA Abdulla,0
P Awana,0
RS Bopara,0
PP Chawla,0
CH Gayle,0
Gurkeerat Singh,0
BE Hendricks,0
AD Mascarenhas,0
WA Mota,0
Mujeeb Ur Rahman,0
AM Nayar,0
AR Patel,0
NJ Rimmington,0
Sandeep Sharma,0
PC Valthaty,0
B Akhil,0
Y Gnaneswara Rao,0
RV Gomez,0
BJ Hodge,0
P Parameswaran,0
SE Bond,0
RS Gavaskar,0
GB Hogg,0
Iqbal Abdulla,0
Kuldeep Yadav,0
CK Langeveldt,0
SP Narine,0
S Narwal,0
YK Pathan,0
M Prasidh Krishna,0
N Rana,0
SMSM Senanayake,0
Shakib Al Hasan,0
Shoaib Akhtar,0
Umar Gul,0
CR Woakes,0
STR Binny,0
JJ Bumrah,0
YS Chahal,0
CRD Fernando,0
JEC Franklin,0
S Gopal,0
MJ McClenaghan,0
SL Malinga,0
M Markande,0
Mustafizur Rahman,0
C Nanda,0
GR Napier,0
KH Pandya,0
RJ Peterson,0
